Cage Number,Treatment,N,WeekOrig,Week,Ulva,Sand,Red Filamentous Type 1,Red Filamentous Type 2,Dictyota,Coarsely Branched Red Algae,Asparagopsis,Fish,Urchin,Snail,Shell,Sum,Algae
52,All present,N+,3,9,0,100,0,0,0,0,0,0,0,0,0,100,0
53,Urchins Only,N+,1,5,52,48,0,0,0,0,0,0,0,0,0,100,52
53,Urchins Only,N+,2,7,96,4,0,0,0,0,0,0,0,0,0,100,96
53,Urchins Only,N+,3,9,98,2,0,0,0,0,0,0,0,0,0,100,98
54,Urchins Only,No N,1,5,23,77,0,0,0,0,0,0,0,0,0,100,23
54,Urchins Only,No N,2,7,97,3,0,0,0,0,0,0,0,0,0,100,97
54,Urchins Only,No N,3,9,98,2,0,0,0,0,0,0,0,0,0,100,98
55,All present,No N,1,5,0,100,0,0,0,0,0,0,0,0,0,100,0
55,All present,No N,2,7,95,5,0,0,0,0,0,0,0,0,0,100,95
55,All present,No N,3,9,4,96,0,0,0,0,0,0,0,0,0,100,4
56,None present,N+,1,5,9,91,0,0,0,0,0,0,0,0,0,100,9
56,None present,N+,2,7,48,52,0,0,0,0,0,0,0,0,0,100,48
56,None present,N+,3,9,71,29,0,0,0,0,0,0,0,0,0,100,71
57,None present,No N,1,5,47,53,0,0,0,0,0,0,0,0,0,100,47
57,None present,No N,2,7,98,0,0,0,2,0,0,0,0,0,0,100,100
57,None present,No N,3,9,89,8,0,0,3,0,0,0,0,0,0,100,92
58,None present,No N,1,5,58,42,0,0,0,0,0,0,0,0,0,100,58
58,None present,No N,2,7,99,1,0,0,0,0,0,0,0,0,0,100,99
58,None present,No N,3,9,97,3,0,0,0,0,0,0,0,0,0,100,97
59,All present,N+,1,5,8,92,0,0,0,0,0,0,0,0,0,100,8
59,All present,N+,2,7,87,13,0,0,0,0,0,0,0,0,0,100,87
59,All present,N+,3,9,75,19,6,0,0,0,0,0,0,0,0,100,81
60,Urchins Only,N+,1,5,71,29,0,0,0,0,0,0,0,0,0,100,71
60,Urchins Only,N+,2,7,100,0,0,0,0,0,0,0,0,0,0,100,100
60,Urchins Only,N+,3,9,98,2,0,0,0,0,0,0,0,0,0,100,98
62,Urchins Only,N+,1,5,12,88,0,0,0,0,0,0,0,0,0,100,12
62,Urchins Only,N+,2,7,81,19,0,0,0,0,0,0,0,0,0,100,81
62,Urchins Only,N+,3,9,55,45,0,0,0,0,0,0,0,0,0,100,55
63,Urchins Only,No N,1,5,2,98,0,0,0,0,0,0,0,0,0,100,2
63,Urchins Only,No N,2,7,0,100,0,0,0,0,0,0,0,0,0,100,0
63,Urchins Only,No N,3,9,0,100,0,0,0,0,0,0,0,0,0,100,0
64,All present,N+,1,5,0,100,0,0,0,0,0,0,0,0,0,100,0
64,All present,N+,2,7,70,12,18,0,0,0,0,0,0,0,0,100,88
64,All present,N+,3,9,89,11,0,0,0,0,0,0,0,0,0,100,89
